,_class_name,_library,_group,_path,_lines
956,_Interpolator1D,scipy,Other,scipy-1.13.1/scipy/interpolate/_polyint.py,124
957,RawMatrix,sympy,Other,sympy-sympy-1.12.1/sympy/polys/solvers.py,49
958,LinearTriInterpolator,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/tri/_triinterpolate.py,52
959,ModelParallel,keras,TensorFlow/Keras,keras-3.3.3/keras/src/distribution/distribution_lib.py,185
960,ELU,keras,TensorFlow/Keras,keras-3.3.3/keras/src/layers/activations/elu.py,25
961,TFOptimizer,keras,TensorFlow/Keras,keras-3.3.3/keras/src/backend/tensorflow/optimizer.py,213
962,PLSRegression,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/cross_decomposition/_pls.py,160
963,LSTMCell,keras,TensorFlow/Keras,keras-3.3.3/keras/src/layers/rnn/lstm.py,300
964,erf2,sympy,Other,sympy-sympy-1.12.1/sympy/functions/special/error_functions.py,144
965,LossScaleOptimizerV3,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/mixed_precision/loss_scale_optimizer.py,354
966,Flatten,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/legacy_tf_layers/core.py,53
967,FastICA,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/decomposition/_fastica.py,428
968,LatinHypercube,scipy,Other,scipy-1.13.1/scipy/stats/_qmc.py,277
969,PolynomialDecay,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/optimizers/schedules/learning_rate_schedule.py,150
970,RegularGridInterpolator,scipy,Other,scipy-1.13.1/scipy/interpolate/_rgi.py,547
971,_NumPyAPIWrapper,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/utils/_array_api.py,109
972,_MockEstimatorOnOffPrediction,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/utils/_mocking.py,32
973,CategoricalDtype,pandas,Other,pandas-2.2.2/pandas/core/dtypes/dtypes.py,532
974,CapStyle,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/_enums.py,59
975,QuadraticDiscriminantAnalysis,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/discriminant_analysis.py,294
976,_IndexSlice,pandas,Other,pandas-2.2.2/pandas/core/indexing.py,42
977,CheckingClassifier,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/utils/_mocking.py,272
978,MetaEstimatorMixin,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/base.py,28
979,Not,sympy,Other,sympy-sympy-1.12.1/sympy/logic/boolalg.py,111
